Exam Question,Option - A,Option - B,Option - C,Option - D,Answer,Difficulty
"Kung ikaw ang isa sa mga inanyayahang dumalo sa pulong, ano ang nararapat mong gawin?",Hindi ako dadalo dahil aksaya lamang ito sa aking oras.,Magtatanong na lang ako sa mga kapitbahay hinggil sa mga napag-usapan sa pulong.,Dadalo ako pero hahayaan ko na lamang kung anuman ang maging desisyon ng punong barangay.,Dadalo ako at magbibihay ng sariling mungkahi sa abot ng aking kaalaman.,D,
"Sa ganitong sitwasyon, ano ang kinakailangan manaig sa bawat isa na dadalo sa pulong?",Pagkakaisa,Pagtitiyaga,Pagkamasunurin,Pagwawalang-bahala,A,
Ano ang ating pambansang wika?,Ingles,Filipino,Tagalog,Cebuano,B,
Nakita ni Francis na pinagtatawanan ng kaniyang mga ka-opisina ang isang dayuhang empleyado dahit sa taglay nitong maitim na balat. Ano ang nararapat na gawin ni Francis sa ganitong sitwasyon?,Magkunwaring hindi nakita ang pangyayari.,Isumbong ang mga nagtatawanang ka-opisina sa kanilang amo.,Kumampi sa kaniyang mga ka-opisina at pagtawanan din ang dayunhang empleyado.,Ipaliwanag sa kaniyang mga ka-opisina na dapat irespeto ang dayuhang empleyado ano man ang lahi nito.,D,
Oras ng pagsasanay sa pagguhit sa nina Ricardo. Nasilip niya na mas maganda ang gawa ni Abelardo sa kaniwang gawa. Alin sa mga sumusunod ang dapat gawin ni Ricardo?,Sirain ang gawa ni Abelardo.,Ayusin at pagandahin ang sariling gawa.,Agawing ang gawa ng kaklase at sabihing kaniya ito.,Itapon ang sariling gawa upang hindi makita ng guro,B,
Hilig ni Becky na mamasyal sa iba't ibang lugar. Subalit hindi sanay si Adelfa sa mga pasyalan at iba pang uri ng pagliliwaliw kaya mas gusto pa niyang manatili sa loob ng bahay. Ito ang sanhi ng madalas na pagtatalo ng magkaibigan. Ang pangunahing dahilan ng kanilang di-pagkakasundo ay ang pakakaiba ng kanilang,bahay,trabaho,pinagmulang probinsya,kinamulatang kaugalian,D,
Alin sa mga sumusunod ang HINDI mabuting idudulot ng paglalakbay sa iba't ibang lugar?,Makakakilala ng maraming tao,Mararanasan ang iba't ibang uri ng pamumuhay ,Makakalimutan ang kultura ng bayang pinagmulan,Magkakaroon ng pagkakataong makapagbakasyon,C,
Alin sa mga sumusunod na organisasyon ang namamahala sa mga internasyunal na paligsahan sa boxing?,World Boxing Council (WBO),Philippine Sports Commission (PSC),Philippine Basketball Association (PBA),Internation Olympic Committee (IOC),A,
Ano ang epekto ng pakikipag-ugnayan natin sa ibang bansa?,Makahihikayat ito ng mga dayuhan na magtayo ng negosyo sa ating bansa.,Makakapagbigay ito ng mga bagong ideya tungo sa pag-unlad ng ating bansa.,Makapagbibigay ito ng maraming hanapbuhay sa ating mga kababayan.,Lahat ng nabanggit.,D,
"Alin sa mga sumusunod ang naidudulot ng ""El Niño"" sa bansa?",Pagkakaroon ng polusyon,Pagtaas ng presyo ng mga bilihin,Pagkakaroon ng iba't ibang kalamidad,Pagkaranas ng suliraning pang-agrikultura,D,
